id,name,type,year,total_earners,male_earners,female_earners,median_earnings,male_median_earnings,male_full_time_median_earnings,female_full_time_median_earnings,female_median_earnings,percent_with_earnings_1_to_9999,percent_with_earnings_10000_to_14999,percent_with_earnings_15000_to_24999,percent_with_earnings_25000_to_34999,percent_with_earnings_35000_to_49999,percent_with_earnings_50000_to_64999,percent_with_earnings_65000_to_74999,percent_with_earnings_75000_to_99999,percent_with_earnings_over_100000,median_earnings_less_than_high_school,median_earnings_high_school,median_earnings_some_college_or_associates,median_earnings_bachelor_degree,median_earnings_graduate_or_professional_degree,ratio_male_earners,ratio_female_earners,ratio_median_male_to_female_earnings,ratio_full_time_median_male_to_female_earnings,ratio_less_than_high_school_to_median,ratio_high_school_to_median,ratio_some_college_or_associates_to_median,ratio_bachelor_to_median,ratio_graduate_to_median,population
0500000US01123,"Tallapoosa County, Alabama",county,2013,18528,9605,8923,25800,27362,36523,31440,24090,2.5,6.7,20.9,22.4,18.1,14.5,5.1,5.1,4.7,21766,24059,30761,43259,53879,0.518,0.482,1.136,1.162,0.844,0.933,1.192,1.677,2.088,41428
0500000US01125,"Tuscaloosa County, Alabama",county,2013,100555,52107,48448,24582,30201,43455,33270,20321,1.7,5.6,18.6,19,20.4,15.2,4.6,7.8,7.1,17437,27238,31949,42285,52587,0.518,0.482,1.486,1.306,0.709,1.108,1.3,1.72,2.139,196824
0500000US01127,"Walker County, Alabama",county,2013,28295,15280,13015,24119,32115,44861,30030,19106,2.6,5.5,20.7,16.9,19.6,16.4,6.7,6.6,5,20938,25951,30748,41309,56553,0.54,0.46,1.681,1.494,0.868,1.076,1.275,1.713,2.345,66622
0500000US01129,"Washington County, Alabama",county,2013,7210,4105,3105,27229,39701,51800,29879,20282,2,4,15.9,17.3,19.9,14.3,10.1,11.6,4.8,24441,30019,30469,39148,55278,0.569,0.431,1.957,1.734,0.898,1.102,1.119,1.438,2.03,17284
0500000US01131,"Wilcox County, Alabama",county,2013,3142,1568,1574,22637,26389,35864,27237,20265,3.6,7.3,18.7,25.3,17.9,8.8,1.5,12.6,4.3,13490,26309,20433,43598,37857,0.499,0.501,1.302,1.317,0.596,1.162,0.903,1.926,1.672,11531
0500000US01133,"Winston County, Alabama",county,2013,10570,5851,4719,21599,25653,37083,26682,18010,2.9,6.3,27.2,19.2,17.8,11.6,4.9,5.2,4.9,16478,21093,28477,47194,51731,0.554,0.446,1.424,1.39,0.763,0.977,1.318,2.185,2.395,24342
0500000US02013,"Aleutians East Borough, Alaska",county,2013,2759,2103,656,21727,22109,28056,24583,20941,8.1,8.4,26.7,19.9,16.4,9.7,5.2,3.1,2.5,22969,21300,28929,24211,73250,0.762,0.238,1.056,1.141,1.057,0.98,1.331,1.114,3.371,3141
0500000US02016,"Aleutians West Census Area, Alaska",county,2013,4231,3013,1218,26564,26403,31972,32370,26775,4.7,8,21.2,17.8,15.4,12.3,4.6,7.7,8.2,21622,25815,35094,37083,70625,0.712,0.288,0.986,0.988,0.814,0.972,1.321,1.396,2.659,5538
0500000US02020,"Anchorage Municipality, Alaska",county,2013,177064,94460,82604,38917,44811,58000,44611,32400,1.5,2,10,14.5,20.3,16.5,7.6,12.8,14.8,26173,32398,43034,55519,74362,0.533,0.467,1.383,1.3,0.673,0.832,1.106,1.427,1.911,295237
0500000US02050,"Bethel Census Area, Alaska",county,2013,8539,4667,3872,19304,18793,51343,43973,20099,1.4,4.9,11.9,14.6,21,14.1,4.3,18.1,9.7,11513,18663,33886,73833,76442,0.547,0.453,0.935,1.168,0.596,0.967,1.755,3.825,3.96,17356
0500000US02060,"Bristol Bay Borough, Alaska",county,2013,623,354,269,46908,55556,64219,48229,38393,0.5,1.9,6.6,5.6,25.9,24.1,10.3,17.7,7.4,20000,43462,53533,52813,61339,0.568,0.432,1.447,1.332,0.426,0.927,1.141,1.126,1.308,933
0500000US02068,"Denali Borough, Alaska",county,2013,1364,700,664,32500,52885,70565,42361,20625,4.9,4.3,9.3,12,14.2,13.6,9.2,19.3,13.2,9643,48583,47500,31458,60156,0.513,0.487,2.564,1.666,0.297,1.495,1.462,0.968,1.851,2020
0500000US02070,"Dillingham Census Area, Alaska",county,2013,2573,1392,1181,21728,19180,51685,50306,25949,3.2,3.5,10.6,14.7,15.5,22.1,9.6,12.6,8,9821,19306,30506,50217,65625,0.541,0.459,0.739,1.027,0.452,0.889,1.404,2.311,3.02,4923
0500000US02090,"Fairbanks North Star Borough, Alaska",county,2013,59625,33794,25831,34492,42266,54754,42155,27430,1.1,2,11.1,15.5,20.3,17.2,8.7,14.4,9.8,28358,35249,41508,50120,66370,0.567,0.433,1.541,1.299,0.822,1.022,1.203,1.453,1.924,98656
1600000US0245295,"Lowell Point CDP, Alaska",place,2013,64,33,31,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0.516,0.484,0,0,0,0,0,0,0,64
0500000US02100,"Haines Borough, Alaska",county,2013,1608,934,674,27005,33667,39943,31212,24423,5.1,9.2,17.5,12.6,25.7,10.2,3.8,8.2,7.8,0,27275,31364,26154,36250,0.581,0.419,1.378,1.28,0,1.01,1.161,0.968,1.342,2546
0500000US02105,"Hoonah-Angoon Census Area, Alaska",county,2013,1293,713,580,24639,27477,60625,40729,17181,2.8,0.4,10.5,16,22.2,14.3,9.4,14.7,9.6,16250,25119,26296,26979,56250,0.551,0.449,1.599,1.488,0.66,1.019,1.067,1.095,2.283,2141
0500000US02110,"Juneau City and Borough, Alaska",county,2013,20061,10722,9339,40267,45483,62363,45795,34905,1.2,1.6,7,13.1,22.5,16.6,8.4,17.5,12,23819,36097,40280,50122,72486,0.534,0.466,1.303,1.362,0.592,0.896,1,1.245,1.8,31897
0500000US02122,"Kenai Peninsula Borough, Alaska",county,2013,30967,17469,13498,32193,44165,60115,38820,24094,2,2.9,9.9,16.1,18.6,19.2,7,12.4,12.1,23093,36542,35668,46088,59671,0.564,0.436,1.833,1.549,0.717,1.135,1.108,1.432,1.854,56163
0500000US02130,"Ketchikan Gateway Borough, Alaska",county,2013,8209,4452,3757,34640,41394,53779,40106,31417,2.8,1.8,9.3,14.9,26.4,18.2,7,11.9,7.7,30522,33333,35250,45300,65250,0.542,0.458,1.318,1.341,0.881,0.962,1.018,1.308,1.884,13595
0500000US02150,"Kodiak Island Borough, Alaska",county,2013,8559,4877,3682,26938,35279,50304,36787,20808,7.3,3.4,12.4,16.5,16.5,18,10.7,9.1,6.2,18375,26014,35218,38452,72889,0.57,0.43,1.695,1.367,0.682,0.966,1.307,1.427,2.706,13850
0500000US02164,"Lake and Peninsula Borough, Alaska",county,2013,856,431,425,20817,26875,49375,33571,16250,0.4,5.8,24,13.5,16.4,12.4,8,14.2,5.5,12159,19375,25208,48750,73125,0.504,0.496,1.654,1.471,0.584,0.931,1.211,2.342,3.513,1454
0500000US02170,"Matanuska-Susitna Borough, Alaska",county,2013,47163,26507,20656,36793,48212,62119,43859,25938,1.6,3.6,8.4,12.2,18.6,19,8.3,15.4,12.9,24291,40722,41481,53932,65543,0.562,0.438,1.859,1.416,0.66,1.107,1.127,1.466,1.781,91519
0500000US02180,"Nome Census Area, Alaska",county,2013,4940,2789,2151,22992,20934,53857,48872,25033,1.4,2.9,11.2,12.3,20.5,18.2,8.5,14.9,10,12727,19031,38421,63571,76310,0.565,0.435,0.836,1.102,0.554,0.828,1.671,2.765,3.319,9695
0500000US02185,"North Slope Borough, Alaska",county,2013,6120,4134,1986,51288,67092,75278,51636,31556,0.9,2.1,4.4,11.8,14.3,17.2,7.7,17,24.5,28125,50969,66035,91364,82098,0.675,0.325,2.126,1.458,0.548,0.994,1.288,1.781,1.601,9484
0500000US02188,"Northwest Arctic Borough, Alaska",county,2013,3712,2157,1555,23614,24639,62601,51573,22409,1.6,2.7,7.8,12.5,16.4,21.9,7.7,15.4,14,9722,21875,43250,75260,82750,0.581,0.419,1.1,1.214,0.412,0.926,1.832,3.187,3.504,7624
0500000US02195,"Petersburg Census Area, Alaska",county,2013,2502,1389,1113,28962,39375,58447,34750,22542,2.7,3.2,15.1,15.3,14.2,21.8,7.6,15.2,4.9,20673,36417,29464,45000,50000,0.555,0.445,1.747,1.682,0.714,1.257,1.017,1.554,1.726,3806
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",county,2013,3178,1880,1298,25385,32917,53472,37281,17545,2.6,5.4,9,16.1,20.4,18.3,9.2,10.5,8.5,14500,23017,31281,57750,61000,0.592,0.408,1.876,1.434,0.571,0.907,1.232,2.275,2.403,5672
0500000US02220,"Sitka City and Borough, Alaska",county,2013,5496,2900,2596,33766,43634,58929,38450,30251,1.3,4.9,10.7,18.1,19.2,17.7,5.6,15,7.6,23972,33140,37188,49706,59643,0.528,0.472,1.442,1.533,0.71,0.981,1.101,1.472,1.766,8945
0500000US02230,"Skagway Municipality, Alaska",county,2013,818,455,363,31556,38042,39769,45500,25375,2.4,2.7,13,20.5,21,16.1,6,10.4,8,13854,31563,32019,45833,47500,0.556,0.444,1.499,0.874,0.439,1,1.015,1.452,1.505,1080
0500000US02240,"Southeast Fairbanks Census Area, Alaska",county,2013,3774,2242,1532,35347,47627,61905,36984,23367,4.1,2.9,11.8,11.9,18.9,14.9,7.5,11.6,16.4,30714,26676,42269,49861,71042,0.594,0.406,2.038,1.674,0.869,0.755,1.196,1.411,2.01,7047
0500000US02261,"Valdez-Cordova Census Area, Alaska",county,2013,5768,3369,2399,34850,43406,65093,41307,26370,0.7,3.3,3.7,15,24.7,14,8,15.9,14.7,22852,40104,40167,46250,66538,0.584,0.416,1.646,1.576,0.656,1.151,1.153,1.327,1.909,9682
0500000US02270,"Wade Hampton Census Area, Alaska",county,2013,3284,1873,1411,12637,12252,35492,37708,13180,3.1,6.9,17.9,19,25.2,18.2,3.9,3.9,1.9,8438,14074,22337,50417,63250,0.57,0.43,0.93,0.941,0.668,1.114,1.768,3.99,5.005,7678
0500000US02275,"Wrangell City and Borough, Alaska",county,2013,1322,701,621,29044,32219,46364,31413,26772,0.8,9.2,10.8,24,24.3,8.9,2.7,11.7,7.6,43333,30769,31020,31167,95375,0.53,0.47,1.203,1.476,1.492,1.059,1.068,1.073,3.284,2371
0500000US02282,"Yakutat City and Borough, Alaska",county,2013,427,261,166,36125,34125,60357,44896,37500,1.3,0.4,14.4,8.7,21.8,22.7,6.1,18.3,6.1,15536,19167,49167,43667,66875,0.611,0.389,0.91,1.344,0.43,0.531,1.361,1.209,1.851,607
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",county,2013,3076,1714,1362,17004,17788,50093,36250,16360,2.8,5.1,12.2,18.2,21.5,17,7.7,9.7,5.8,11012,15332,27059,49318,56750,0.557,0.443,1.087,1.382,0.648,0.902,1.591,2.9,3.337,5656
0500000US04001,"Apache County, Arizona",county,2013,22712,11042,11670,23647,25708,38947,31968,22007,3.5,8,18.7,20.5,23.2,12.7,4.9,5,3.5,16099,20787,28581,41488,50162,0.486,0.514,1.168,1.218,0.681,0.879,1.209,1.754,2.121,71978
0500000US04003,"Cochise County, Arizona",county,2013,62942,35134,27808,24831,27219,43073,33450,22000,5.3,5.4,16.8,18,19,12.5,5.5,10.1,7.4,13231,21457,31080,44055,51535,0.558,0.442,1.237,1.288,0.533,0.864,1.252,1.774,2.075,131038
8600000US10119,10119 ZIP Code,zip_code,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0500000US04005,"Coconino County, Arizona",county,2013,75437,38651,36786,22378,26240,42768,35635,20120,3.4,5.9,15.1,17.8,22.8,14.1,4.8,8.1,8,18549,26619,30371,38371,54617,0.512,0.488,1.304,1.2,0.829,1.19,1.357,1.715,2.441,134795
0500000US04007,"Gila County, Arizona",county,2013,20977,11030,9947,25270,32044,45618,30731,21117,2.3,4.7,19.7,18.7,20.7,17,6.4,5.7,4.7,20521,25342,31075,31903,41205,0.526,0.474,1.517,1.484,0.812,1.003,1.23,1.262,1.631,53335
0500000US04009,"Graham County, Arizona",county,2013,14680,8048,6632,27125,36024,47199,35119,19048,2.5,6,12.9,14.2,27.7,16.3,7.7,9.6,3.1,20821,29302,34162,36833,55108,0.548,0.452,1.891,1.344,0.768,1.08,1.259,1.358,2.032,37168
0500000US04011,"Greenlee County, Arizona",county,2013,3675,2292,1383,35625,44543,56217,36055,23451,1.6,1.8,8.6,15.8,18.5,29.6,7,12.8,4.4,27333,36948,40021,42600,75368,0.624,0.376,1.899,1.559,0.767,1.037,1.123,1.196,2.116,8679
0500000US04012,"La Paz County, Arizona",county,2013,7560,4028,3532,24350,30209,34093,27000,19032,1.7,4.1,26.3,28.4,15.9,11.9,4.5,3,4.3,20800,23880,30132,44967,52647,0.533,0.467,1.587,1.263,0.854,0.981,1.237,1.847,2.162,20408
0500000US04013,"Maricopa County, Arizona",county,2013,1936840,1039157,897683,31651,35687,47588,39459,27791,1.9,4.1,13.7,16.9,21.8,14.6,5.8,9.5,11.7,20244,27991,35935,51454,64799,0.537,0.463,1.284,1.206,0.64,0.884,1.135,1.626,2.047,3889161
0500000US04015,"Mohave County, Arizona",county,2013,81193,41667,39526,22259,26782,39427,29937,19070,2.5,7.1,19.5,21.8,21.6,11.4,4.1,6.2,5.9,15974,22054,26583,37530,48505,0.513,0.487,1.404,1.317,0.718,0.991,1.194,1.686,2.179,201680
0500000US04017,"Navajo County, Arizona",county,2013,38845,20401,18444,22903,26692,41614,31922,18974,4.1,6.5,17.2,19.9,19.8,15.5,5.4,5.4,6.3,18095,22222,26731,42119,52764,0.525,0.475,1.407,1.304,0.79,0.97,1.167,1.839,2.304,107326
0500000US04019,"Pima County, Arizona",county,2013,480954,254184,226770,26132,30359,44103,35121,22446,2.2,4.2,16.7,19.1,20.7,13.6,5.3,8.9,9.2,17437,24478,31138,43332,55313,0.528,0.472,1.353,1.256,0.667,0.937,1.192,1.658,2.117,986891
0500000US04021,"Pinal County, Arizona",county,2013,154960,85894,69066,30836,34388,44668,36402,25421,1.7,3.5,14.5,18.9,25.4,15.6,5.7,8,6.6,20660,30618,35730,44739,50698,0.554,0.446,1.353,1.227,0.67,0.993,1.159,1.451,1.644,379128
0500000US04023,"Santa Cruz County, Arizona",county,2013,19819,10998,8821,22010,26988,38431,27280,18382,1.7,9,22.8,20.1,19.9,9.6,3.6,6.5,6.7,14282,21222,29596,45342,41516,0.555,0.445,1.468,1.409,0.649,0.964,1.345,2.06,1.886,47122
0500000US04025,"Yavapai County, Arizona",county,2013,96917,50229,46688,22997,26704,40861,33699,20296,2.6,5.1,16.6,21.9,22.3,11.9,4.8,8.5,6.4,16217,22653,27320,36537,39535,0.518,0.482,1.316,1.213,0.705,0.985,1.188,1.589,1.719,211968
0500000US04027,"Yuma County, Arizona",county,2013,87883,49438,38445,22198,26482,37657,30000,17000,2.1,5.8,22.7,20.2,20.4,12.8,4.2,6.9,5,15263,22233,30958,40604,56607,0.563,0.437,1.558,1.255,0.688,1.002,1.395,1.829,2.55,199026
0500000US05001,"Arkansas County, Arkansas",county,2013,9855,5105,4750,24381,31387,36950,26472,19307,3.4,5.9,25.2,19.6,21,10.7,3.8,4.2,6.2,21000,25606,26548,46635,50500,0.518,0.482,1.626,1.396,0.861,1.05,1.089,1.913,2.071,18957
0500000US05003,"Ashley County, Arkansas",county,2013,9460,5080,4380,25769,35000,47750,24587,17940,2.1,8.3,21.1,17.7,17.5,14,8.4,5.6,5.4,18991,27395,27388,41341,46154,0.537,0.463,1.951,1.942,0.737,1.063,1.063,1.604,1.791,21645
0500000US05005,"Baxter County, Arkansas",county,2013,17361,8474,8887,21753,24978,33185,28522,20076,2,7.1,25.4,26.5,18.5,9.1,3.6,3.6,4.2,15289,20499,25950,31299,56500,0.488,0.512,1.244,1.163,0.703,0.942,1.193,1.439,2.597,41281
0500000US05007,"Benton County, Arkansas",county,2013,112371,61339,51032,31247,36307,44058,33677,26581,1.4,3.4,18.1,19.9,20.2,12.2,4.8,8,11.9,22496,28164,33732,53395,64363,0.546,0.454,1.366,1.308,0.72,0.901,1.08,1.709,2.06,227439
0500000US05009,"Boone County, Arkansas",county,2013,17321,9249,8072,22485,27974,36623,26586,19251,2.8,4.3,25.7,22,19.8,11.8,2.7,4.8,6.2,17125,22621,26222,40944,63906,0.534,0.466,1.453,1.378,0.762,1.006,1.166,1.821,2.842,37099
0500000US05011,"Bradley County, Arkansas",county,2013,5009,2652,2357,23720,29983,36458,26845,16577,5.1,6.4,22.9,22.4,21.5,8.2,4.6,3,5.8,18204,23168,31655,42625,52386,0.529,0.471,1.809,1.358,0.767,0.977,1.335,1.797,2.209,11418
0500000US05013,"Calhoun County, Arkansas",county,2013,2577,1445,1132,23369,25685,30932,25762,21475,2,8,27.3,28.9,16.2,9,4,2.2,2.5,22067,21756,25357,40714,47368,0.561,0.439,1.196,1.201,0.944,0.931,1.085,1.742,2.027,5319
0500000US05015,"Carroll County, Arkansas",county,2013,13345,7240,6105,22663,24764,30960,24487,20046,2.3,6.4,33.4,22.4,18.1,6.2,2.4,3.9,5,21702,21958,24435,31222,45098,0.543,0.457,1.235,1.264,0.958,0.969,1.078,1.378,1.99,27531
0500000US05017,"Chicot County, Arkansas",county,2013,4142,2059,2083,21382,26222,35438,24125,18648,5.6,4.9,30.7,17.8,19.6,12.1,3.4,1.4,4.5,16932,20778,25975,34688,69583,0.497,0.503,1.406,1.469,0.792,0.972,1.215,1.622,3.254,11621
0500000US05019,"Clark County, Arkansas",county,2013,12195,6176,6019,16463,20737,38998,27465,12491,4,5.3,23.1,17.8,25.1,12.8,5.5,3.5,3,12870,21159,25379,40462,43731,0.506,0.494,1.66,1.42,0.782,1.285,1.542,2.458,2.656,22912
1600000US0252940,"Nelson Lagoon CDP, Alaska",place,2013,39,16,23,12292,11667,0,0,32875,0,0,0,0,0,0,0,0,100,11875,32625,0,0,0,0.41,0.59,0.355,0,0.966,2.654,0,0,0,46
0500000US05021,"Clay County, Arkansas",county,2013,7442,4025,3417,22568,25302,32119,26778,19161,2,8.1,28.2,22.9,20.7,8.9,3.6,2.1,3.6,19255,21225,27331,32500,49567,0.541,0.459,1.32,1.199,0.853,0.94,1.211,1.44,2.196,15790
0500000US05023,"Cleburne County, Arkansas",county,2013,11391,6181,5210,23175,31837,41612,26507,15436,2.3,9.8,18.7,17.9,22.2,13,5.1,4.4,6.5,17721,26187,21459,41182,53968,0.543,0.457,2.063,1.57,0.765,1.13,0.926,1.777,2.329,25856
0500000US05025,"Cleveland County, Arkansas",county,2013,3760,2052,1708,27003,32963,44256,33045,23949,2,3.7,17.1,23,21.1,17.4,2.7,7.3,5.8,20000,26332,31444,51500,44167,0.546,0.454,1.376,1.339,0.741,0.975,1.164,1.907,1.636,8648
0500000US05027,"Columbia County, Arkansas",county,2013,11679,5859,5820,19278,26888,43103,29115,15640,4.7,4.8,20.6,18.1,20.6,10.7,7.4,6.5,6.6,15239,24607,25837,39434,48427,0.502,0.498,1.719,1.48,0.79,1.276,1.34,2.046,2.512,24512
